price,rooms,total_area_m2,floor,address,title,url
16 500 000 ₽458 333 ₽/м²,2,36 м²,11/21,Москва,"2-комн. апартаменты, 36 м², 11/21 этаж",https://www.cian.ru/cat.php?id_user=61579604&deal_type=sale&flat=yes&engine_version=2
15 300 000 ₽259 762 ₽/м²,3,58.9 м²,8/9,Москва,"3-комн. квартира, 58,9 м², 8/9 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽325 991 ₽/м²,2,56.75 м²,23/25,Москва,"2-комн. квартира, 56,75 м², 23/25 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
14 650 000 ₽332 955 ₽/м²,2,44 м²,16/16,Москва,"2-комн. квартира, 44 м², 16/16 этаж",https://www.cian.ru/cat.php?id_user=12284317&deal_type=sale&flat=yes&engine_version=2
19 500 000 ₽456 674 ₽/м²,2,42.7 м²,17/31,Москва,"2-комн. квартира, 42,7 м², 17/31 этаж",https://www.cian.ru/cat.php?id_user=12924&deal_type=sale&flat=yes&engine_version=2
15 400 000 ₽405 263 ₽/м²,1,38 м²,13/17,Москва,"1-комн. квартира, 38 м², 13/17 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽292 398 ₽/м²,2,51.3 м²,4/12,Москва,"2-комн. квартира, 51,3 м², 4/12 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
12 800 000 ₽294 931 ₽/м²,2,43.4 м²,2/9,Москва,"2-комн. кв., 43.4 м², 2/9 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
19 800 000 ₽600 000 ₽/м²,1,33 м²,18/28,Москва,"1-комн. квартира, 33 м², 18/28 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
14 700 000 ₽442 771 ₽/м²,1,33.2 м²,9/9,Москва,"1-комн. квартира, 33,2 м², 9/9 этаж",https://www.cian.ru/cat.php?id_user=13347386&deal_type=sale&flat=yes&engine_version=2
19 600 000 ₽271 468 ₽/м²,3,72.2 м²,4/14,Москва,"3-комн. квартира, 72,2 м², 4/14 этаж",https://www.cian.ru/cat.php?id_user=1689268&deal_type=sale&flat=yes&engine_version=2
20 800 000 ₽332 268 ₽/м²,3,62.6 м²,10/12,Москва,"3-комн. квартира, 62,6 м², 10/12 этаж",https://www.cian.ru/cat.php?id_user=97771566&deal_type=sale&flat=yes&engine_version=2
22 900 000 ₽643 258 ₽/м²,2,35.6 м²,3/14,Москва,"2-комн. квартира, 35,6 м², 3/14 этаж",https://www.cian.ru/cat.php?id_user=89915137&deal_type=sale&flat=yes&engine_version=2
25 490 000 ₽579 318 ₽/м²,1,44 м²,20/30,Москва,"1-комн. квартира, 44 м², 20/30 этаж",https://www.cian.ru/cat.php?id_user=29360429&deal_type=sale&flat=yes&engine_version=2
17 211 750 ₽216 500 ₽/м²,2,79.5 м²,5/45,Москва,"2-комн. квартира, 79,5 м², 5/45 этаж",https://www.cian.ru/cat.php?id_user=7759914&deal_type=sale&flat=yes&engine_version=2
17 200 000 ₽259 819 ₽/м²,3,66.2 м²,7/10,Москва,"3-комн. квартира, 66,2 м², 7/10 этаж",https://www.cian.ru/cat.php?id_user=335209&deal_type=sale&flat=yes&engine_version=2
17 211 750 ₽216 500 ₽/м²,2,79.5 м²,5/45,Москва,"2-комн. квартира, 79,5 м², 5/45 этаж",https://www.cian.ru/cat.php?id_user=7759914&deal_type=sale&flat=yes&engine_version=2
10 000 000 ₽312 500 ₽/м²,1,32 м²,1/9,Москва,"1-комн. квартира, 32 м², 1/9 этаж",https://www.cian.ru/cat.php?id_user=886987&deal_type=sale&flat=yes&engine_version=2
17 732 000 ₽220 000 ₽/м²,2,80.6 м²,15/45,Москва,"2-комн. квартира, 80,6 м², 15/45 этаж",https://www.cian.ru/cat.php?id_user=7759914&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽294 695 ₽/м²,2,50.9 м²,8/12,Москва,"2-комн. квартира, 50,9 м², 8/12 этаж",https://www.cian.ru/cat.php?id_user=53480503&deal_type=sale&flat=yes&engine_version=2
23 900 000 ₽449 248 ₽/м²,2,53.2 м²,3/15,Москва,"2-комн. квартира, 53,2 м², 3/15 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
19 400 000 ₽636 066 ₽/м²,1,30.5 м²,2/9,Москва,"1-комн. квартира, 30,5 м², 2/9 этаж",https://www.cian.ru/cat.php?id_user=50974643&deal_type=sale&flat=yes&engine_version=2
14 399 000 ₽411 400 ₽/м²,1,35 м²,3/12,Москва,"1-комн. квартира, 35 м², 3/12 этаж",https://www.cian.ru/cat.php?id_user=15561797&deal_type=sale&flat=yes&engine_version=2
20 000 000 ₽410 678 ₽/м²,2,48.7 м²,4/8,Москва,"2-комн. квартира, 48,7 м², 4/8 этаж",https://www.cian.ru/cat.php?id_user=12323908&deal_type=sale&flat=yes&engine_version=2
21 999 000 ₽338 446 ₽/м²,3,65 м²,6/18,Москва,"3-комн. апартаменты, 65 м², 6/18 этаж",https://www.cian.ru/cat.php?id_user=10127440&deal_type=sale&flat=yes&engine_version=2
18 000 000 ₽465 116 ₽/м²,1,38.7 м²,2/7,Москва,"1-комн. квартира, 38,7 м², 2/7 этаж",https://www.cian.ru/cat.php?id_user=21099&deal_type=sale&flat=yes&engine_version=2
19 990 000 ₽516 537 ₽/м²,1,38.7 м²,2/7,Москва,Просторная однокомнатная квартира,https://www.cian.ru/cat.php?id_user=87069556&deal_type=sale&flat=yes&engine_version=2
22 500 000 ₽387 931 ₽/м²,2,58 м²,5/5,Москва,"2-комн. квартира, 58 м², 5/5 этаж",https://www.cian.ru/cat.php?id_user=9679252&deal_type=sale&flat=yes&engine_version=2
28 990 000 ₽461 624 ₽/м²,3,62.8 м²,22/31,Москва,"3-комн. квартира, 62,8 м², 22/31 этаж",https://www.cian.ru/cat.php?id_user=13378&deal_type=sale&flat=yes&engine_version=2
17 200 000 ₽281 046 ₽/м²,2,61.2 м²,3/9,Москва,"2-комн. квартира, 61,2 м², 3/9 этаж",https://www.cian.ru/cat.php?id_user=123860344&deal_type=sale&flat=yes&engine_version=2
17 490 000 ₽203 846 ₽/м²,4,85.8 м²,9/15,Москва,"4-комн. квартира, 85,8 м², 9/15 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
11 490 000 ₽166 522 ₽/м²,3,69 м²,4/5,Москва,"3-комн. апартаменты, 69 м², 4/5 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
22 300 000 ₽547 912 ₽/м²,1,40.7 м²,8/25,Москва,"1-ком. кв., 40.7 м², 8/25 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
7 490 000 ₽374 500 ₽/м²,1,20 м²,6/21,Москва,"1-комн. апартаменты, 20 м², 6/21 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
14 800 000 ₽258 290 ₽/м²,2,57.3 м²,2/14,Москва,"2-комн. квартира, 57,3 м², 2/14 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
7 500 000 ₽241 935 ₽/м²,1,31 м²,2/5,Москва,"1-комн. квартира, 31 м², 2/5 этаж",https://www.cian.ru/cat.php?id_user=251984&deal_type=sale&flat=yes&engine_version=2
20 800 000 ₽332 268 ₽/м²,3,62.6 м²,10/12,Москва,"3-комн. квартира, 62,6 м², 10/12 этаж",https://www.cian.ru/cat.php?id_user=97771566&deal_type=sale&flat=yes&engine_version=2
7 850 000 ₽290 741 ₽/м²,Студия,27 м²,6/15,Москва,Студия с ремонтом,https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
13 700 000 ₽261 450 ₽/м²,2,52.4 м²,13/15,Москва,"2-комн. квартира, 52,4 м², 13/15 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
8 000 000 ₽201 511 ₽/м²,1,39.7 м²,9/12,Москва,"1-комн. квартира, 39,7 м², 9/12 этаж",https://www.cian.ru/cat.php?id_user=251984&deal_type=sale&flat=yes&engine_version=2
24 499 000 ₽462 245 ₽/м²,2,53 м²,15/25,Москва,"2-комн. кв., 53 м², 15/25 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
8 390 000 ₽152 545 ₽/м²,2,55 м²,1/6,Москва,"2-комн. квартира, 55 м², 1/6 этаж",https://www.cian.ru/cat.php?id_user=100913092&deal_type=sale&flat=yes&engine_version=2
24 400 000 ₽511 530 ₽/м²,1,47.7 м²,12/45,Москва,"1-комн. квартира, 47,7 м², 12/45 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
8 400 000 ₽266 667 ₽/м²,1,31.5 м²,2/21,Москва,"1-комн. апартаменты, 31,5 м², 2/21 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
16 500 000 ₽285 962 ₽/м²,3,57.7 м²,2/9,Москва,"3-комн. квартира, 57,7 м², 2/9 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
8 500 000 ₽371 179 ₽/м²,1,22.9 м²,7/11,Москва,"1-комн. квартира, 22,9 м², 7/11 этаж",https://www.cian.ru/cat.php?id_user=251984&deal_type=sale&flat=yes&engine_version=2
23 500 000 ₽373 016 ₽/м²,2,63 м²,27/33,Москва,"2-комн. квартира, 63 м², 27/33 этаж",https://www.cian.ru/cat.php?id_user=12696435&deal_type=sale&flat=yes&engine_version=2
8 700 000 ₽373 391 ₽/м²,1,23.3 м²,13/18,Москва,"1-комн. квартира, 23,3 м², 13/18 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
14 800 000 ₽435 294 ₽/м²,1,34 м²,6/17,Москва,"1-комн. квартира, 34 м², 6/17 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
8 900 000 ₽134 238 ₽/м²,—,66.3 м²,2,Москва,"2/3 квартиры, 66,3 м², 10/16 этаж",https://www.cian.ru/cat.php?id_user=17817&deal_type=sale&flat=yes&engine_version=2
14 800 000 ₽435 294 ₽/м²,1,34 м²,6/17,Москва,"1-комн. квартира, 34 м², 6/17 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
13 500 000 ₽190 141 ₽/м²,3,71 м²,2/3,Москва,"3-комн. квартира, 71 м², 2/3 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
13 500 000 ₽387 931 ₽/м²,1,34.8 м²,8/12,Москва,"1-комн. квартира, 34,8 м², 8/12 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
12 200 000 ₽307 305 ₽/м²,1,39.7 м²,14/14,Москва,"1-комн. квартира, 39,7 м², 14/14 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
21 600 000 ₽542 714 ₽/м²,1,39.8 м²,10/17,Москва,"1-комн. апартаменты, 39,8 м², 10/17 этаж",https://www.cian.ru/cat.php?id_user=17817&deal_type=sale&flat=yes&engine_version=2
14 950 000 ₽398 667 ₽/м²,1,37.5 м²,2/25,Москва,"1-комн. квартира, 37,5 м², 2/25 этаж",https://www.cian.ru/cat.php?id_user=12323908&deal_type=sale&flat=yes&engine_version=2
20 455 650 ₽520 500 ₽/м²,1,39.3 м²,1/9,Москва,"1-комн. квартира, 39,3 м², 1/9 этаж",https://www.cian.ru/cat.php?id_user=135829611&deal_type=sale&flat=yes&engine_version=2
16 900 000 ₽331 373 ₽/м²,2,51 м²,1/12,Москва,"2-комн. квартира, 51 м², 1/12 этаж",https://www.cian.ru/cat.php?id_user=127259664&deal_type=sale&flat=yes&engine_version=2
20 500 000 ₽370 036 ₽/м²,3,55.4 м²,1/5,Москва,"3-комн. квартира, 55,4 м², 1/5 этаж",https://www.cian.ru/cat.php?id_user=11377709&deal_type=sale&flat=yes&engine_version=2
13 500 000 ₽313 953 ₽/м²,2,43 м²,2/9,Москва,"2-комн. квартира, 43 м², 2/9 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
15 500 000 ₽369 928 ₽/м²,1,41.9 м²,19/23,Москва,"1-комн. квартира, 41,9 м², 19/23 этаж",https://www.cian.ru/cat.php?id_user=12323908&deal_type=sale&flat=yes&engine_version=2
24 000 000 ₽403 361 ₽/м²,2,59.5 м²,9/16,Москва,"2-комн. квартира, 59,5 м², 9/16 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
23 500 000 ₽418 149 ₽/м²,2,56.2 м²,11/15,Москва,"2-комн. кв., 56.2 м², 11/15 эт",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
10 900 000 ₽341 693 ₽/м²,1,31.9 м²,6/12,Москва,"1-комн. квартира, 31,9 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=82693587&deal_type=sale&flat=yes&engine_version=2
20 200 000 ₽379 699 ₽/м²,2,53.2 м²,11/42,Москва,"2-комн. квартира, 53,2 м², 11/42 этаж",https://www.cian.ru/cat.php?id_user=12696435&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽372 208 ₽/м²,2,40.3 м²,7/9,Москва,"2-комн. квартира, 40,3 м², 7/9 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
20 500 000 ₽294 118 ₽/м²,2,69.7 м²,3/27,Москва,"2-комн. квартира, 69,7 м², 3/27 этаж",https://www.cian.ru/cat.php?id_user=96035971&deal_type=sale&flat=yes&engine_version=2
11 000 000 ₽305 556 ₽/м²,1,36 м²,6/12,Москва,"1-комн. квартира, 36 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=96035971&deal_type=sale&flat=yes&engine_version=2
15 890 000 ₽273 494 ₽/м²,3,58.1 м²,1/9,Москва,"3-комн. квартира, 58,1 м², 1/9 этаж",https://www.cian.ru/cat.php?id_user=17950754&deal_type=sale&flat=yes&engine_version=2
10 000 000 ₽316 456 ₽/м²,1,31.6 м²,13/17,Москва,"1-комн. квартира, 31,6 м², 13/17 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
12 600 000 ₽333 333 ₽/м²,1,37.8 м²,7/35,Москва,"1-комн. апартаменты, 37,8 м², 7/35 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
10 200 000 ₽289 773 ₽/м²,1,35.2 м²,2/12,Москва,"1-комн. квартира, 35,2 м², 2/12 этаж",https://www.cian.ru/cat.php?id_user=53927433&deal_type=sale&flat=yes&engine_version=2
19 990 000 ₽526 053 ₽/м²,1,38 м²,9/12,Москва,"1-комн. апартаменты, 38 м², 9/12 этаж",https://www.cian.ru/cat.php?id_user=37679&deal_type=sale&flat=yes&engine_version=2
10 400 000 ₽335 484 ₽/м²,1,31 м²,10/17,Москва,"1-комн. квартира, 31 м², 10/17 этаж",https://www.cian.ru/cat.php?id_user=17950754&deal_type=sale&flat=yes&engine_version=2
22 000 000 ₽594 595 ₽/м²,1,37 м²,5/27,Москва,"1-комн. квартира, 37 м², 5/27 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
10 500 000 ₽381 818 ₽/м²,1,27.5 м²,6/12,Москва,"1-комн. квартира, 27,5 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=80422298&deal_type=sale&flat=yes&engine_version=2
23 500 000 ₽522 222 ₽/м²,1,45 м²,1/17,Москва,"1-комн. квартира, 45 м², 1/17 этаж",https://www.cian.ru/cat.php?id_user=9679252&deal_type=sale&flat=yes&engine_version=2
10 500 000 ₽388 889 ₽/м²,1,27 м²,9/9,Москва,"1-комн. квартира, 27 м², 9/9 этаж",https://www.cian.ru/cat.php?id_user=12696435&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽471 698 ₽/м²,1,31.8 м²,8/12,Москва,"Стильная 1-комн. кв., 31.8 м²",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
10 500 000 ₽276 316 ₽/м²,1,38 м²,16/17,Москва,"1-комн. квартира, 38 м², 16/17 этаж",https://www.cian.ru/cat.php?id_user=9679252&deal_type=sale&flat=yes&engine_version=2
24 700 000 ₽595 181 ₽/м²,1,41.5 м²,25/30,Москва,"1-комн. квартира, 41,5 м², 25/30 этаж",https://www.cian.ru/cat.php?id_user=78134362&deal_type=sale&flat=yes&engine_version=2
10 700 000 ₽611 429 ₽/м²,1,17.5 м²,10/21,Москва,"1-комн. апартаменты, 17,5 м², 10/21 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
13 900 000 ₽324 009 ₽/м²,1,42.9 м²,10/25,Москва,"1-комн. апартаменты, 42,9 м², 10/25 этаж",https://www.cian.ru/cat.php?id_user=13407553&deal_type=sale&flat=yes&engine_version=2
10 800 000 ₽329 268 ₽/м²,1,32.8 м²,3/9,Москва,"1-комн. квартира, 32,8 м², 3/9 этаж",https://www.cian.ru/cat.php?id_user=21099&deal_type=sale&flat=yes&engine_version=2
13 000 000 ₽481 481 ₽/м²,1,27 м²,24/44,Москва,"1-комн. квартира, 27 м², 24/44 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
10 900 000 ₽280 928 ₽/м²,1,38.8 м²,6/12,Москва,"1-комн. квартира, 38,8 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=12696435&deal_type=sale&flat=yes&engine_version=2
11 950 000 ₽316 976 ₽/м²,1,37.7 м²,21/23,Москва,"1-комн. апартаменты, 37,7 м², 21/23 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
10 900 000 ₽341 693 ₽/м²,1,31.9 м²,6/12,Москва,"1-комн. квартира, 31,9 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=82693587&deal_type=sale&flat=yes&engine_version=2
12 600 000 ₽333 333 ₽/м²,1,37.8 м²,7/35,Москва,"1-комн. апартаменты, 37,8 м², 7/35 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
10 600 000 ₽286 486 ₽/м²,1,37 м²,3/17,Москва,"1-комн. апартаменты, 37 м², 3/17 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
19 990 000 ₽526 053 ₽/м²,1,38 м²,9/12,Москва,"1-комн. апартаменты, 38 м², 9/12 этаж",https://www.cian.ru/cat.php?id_user=37679&deal_type=sale&flat=yes&engine_version=2
22 500 000 ₽619 835 ₽/м²,1,36.3 м²,3/27,Москва,"1-комн. квартира, 36,3 м², 3/27 этаж",https://www.cian.ru/cat.php?id_user=50974643&deal_type=sale&flat=yes&engine_version=2
15 785 000 ₽308 904 ₽/м²,2,51.1 м²,5/17,Москва,"2-комн. апартаменты, 51,1 м², 5/17 этаж",https://www.cian.ru/cat.php?id_user=96475243&deal_type=sale&flat=yes&engine_version=2
26 000 000 ₽604 651 ₽/м²,2,43 м²,30/51,Москва,"2-комн. квартира, 43 м², 30/51 этаж",https://www.cian.ru/cat.php?id_user=185313&deal_type=sale&flat=yes&engine_version=2
22 000 000 ₽594 595 ₽/м²,1,37 м²,5/27,Москва,"1-комн. квартира, 37 м², 5/27 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
9 950 000 ₽284 286 ₽/м²,1,35 м²,7/12,Москва,"1-комн. квартира, 35 м², 7/12 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
23 500 000 ₽522 222 ₽/м²,1,45 м²,1/17,Москва,"1-комн. квартира, 45 м², 1/17 этаж",https://www.cian.ru/cat.php?id_user=9679252&deal_type=sale&flat=yes&engine_version=2
16 500 000 ₽500 000 ₽/м²,1,33 м²,13/22,Москва,"1-комн. квартира, 33 м², 13/22 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽471 698 ₽/м²,1,31.8 м²,8/12,Москва,"Стильная 1-комн. кв., 31.8 м²",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
12 600 000 ₽343 324 ₽/м²,1,36.7 м²,14/26,Москва,"1-комн. квартира, 36,7 м², 14/26 этаж",https://www.cian.ru/cat.php?id_user=17817&deal_type=sale&flat=yes&engine_version=2
13 900 000 ₽324 009 ₽/м²,1,42.9 м²,10/25,Москва,"1-комн. апартаменты, 42,9 м², 10/25 этаж",https://www.cian.ru/cat.php?id_user=13407553&deal_type=sale&flat=yes&engine_version=2
14 950 000 ₽382 353 ₽/м²,2,39.1 м²,1/8,Москва,"2-комн. кв., 39.1 м², 1/8 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
13 000 000 ₽481 481 ₽/м²,1,27 м²,24/44,Москва,"1-комн. квартира, 27 м², 24/44 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
18 790 000 ₽298 254 ₽/м²,2,63 м²,10/31,Москва,"2-комн. квартира, 63 м², 10/31 этаж",https://www.cian.ru/cat.php?id_user=38745696&deal_type=sale&flat=yes&engine_version=2
11 950 000 ₽316 976 ₽/м²,1,37.7 м²,21/23,Москва,"1-комн. апартаменты, 37,7 м², 21/23 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
16 790 000 ₽239 857 ₽/м²,3,70 м²,18/25,Москва,"3-комн. квартира, 70 м², 18/25 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
17 000 000 ₽456 989 ₽/м²,1,37.2 м²,2/17,Москва,"1-комн. квартира, 37,2 м², 2/17 этаж",https://www.cian.ru/cat.php?id_user=48505858&deal_type=sale&flat=yes&engine_version=2
16 790 000 ₽239 857 ₽/м²,3,70 м²,18/25,Москва,"3-комн. квартира, 70 м², 18/25 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
17 500 000 ₽440 806 ₽/м²,2,39.7 м²,6/16,Москва,"2-комн. квартира, 39,7 м², 6/16 этаж",https://www.cian.ru/cat.php?id_user=12696435&deal_type=sale&flat=yes&engine_version=2
26 900 000 ₽689 744 ₽/м²,2,39 м²,12/20,Москва,"2-комн. квартира, 39 м², 12/20 этаж",https://www.cian.ru/cat.php?id_user=1663426&deal_type=sale&flat=yes&engine_version=2
14 490 000 ₽439 091 ₽/м²,1,33 м²,4/7,Москва,Однокомнатный Апартамент! ТОП!,https://www.cian.ru/cat.php?id_user=7178164&deal_type=sale&flat=yes&engine_version=2
12 300 000 ₽349 432 ₽/м²,2,35.2 м²,9/16,Москва,"2-комн. квартира, 35,2 м², 9/16 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
16 900 000 ₽286 441 ₽/м²,2,59 м²,12/17,Москва,"2-комн. квартира, 59 м², 12/17 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽382 653 ₽/м²,2,39.2 м²,10/12,Москва,"2-комн. квартира, 39,2 м², 10/12 этаж",https://www.cian.ru/cat.php?id_user=107948029&deal_type=sale&flat=yes&engine_version=2
23 990 000 ₽681 534 ₽/м²,1,35.2 м²,6/20,Москва,"1-комн. квартира, 35,2 м², 6/20 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
18 600 000 ₽523 944 ₽/м²,1,35.5 м²,9/32,Москва,"1-комн. квартира, 35,5 м², 9/32 этаж",https://www.cian.ru/cat.php?id_user=99633446&deal_type=sale&flat=yes&engine_version=2
24 490 000 ₽462 075 ₽/м²,2,53 м²,17/30,Москва,"2-комн. апартаменты, 53 м², 17/30 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
14 500 000 ₽391 892 ₽/м²,1,37 м²,4/9,Москва,"1-комн. квартира, 37 м², 4/9 этаж",https://www.cian.ru/cat.php?id_user=10913832&deal_type=sale&flat=yes&engine_version=2
13 500 000 ₽320 665 ₽/м²,2,42.1 м²,1/9,Москва,"2-комн. квартира, 42,1 м², 1/9 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
17 500 000 ₽349 301 ₽/м²,2,50.1 м²,2/16,Москва,"2-комн. квартира, 50,1 м², 2/16 этаж",https://www.cian.ru/cat.php?id_user=12696435&deal_type=sale&flat=yes&engine_version=2
14 000 000 ₽346 535 ₽/м²,1,40.4 м²,5/21,Москва,"1-комн. апартаменты, 40,4 м², 5/21 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
26 700 000 ₽702 632 ₽/м²,1,38 м²,19/22,Москва,"1-комн. квартира, 38 м², 19/22 этаж",https://www.cian.ru/cat.php?id_user=48341215&deal_type=sale&flat=yes&engine_version=2
10 700 000 ₽611 429 ₽/м²,1,17.5 м²,10/21,Москва,"1-комн. апартаменты, 17,5 м², 10/21 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
21 400 000 ₽301 834 ₽/м²,3,70.9 м²,13/19,Москва,"3-комн. квартира, 70,9 м², 13/19 этаж",https://www.cian.ru/cat.php?id_user=9679252&deal_type=sale&flat=yes&engine_version=2
27 500 000 ₽532 946 ₽/м²,2,51.6 м²,4/37,Москва,"2-комн. квартира, 51,6 м², 4/37 этаж",https://www.cian.ru/cat.php?id_user=12529436&deal_type=sale&flat=yes&engine_version=2
7 350 000 ₽159 783 ₽/м²,1,46 м²,5/9,Москва,"1-комн. квартира, 46 м², 5/9 этаж",https://www.cian.ru/cat.php?id_user=12323908&deal_type=sale&flat=yes&engine_version=2
10 700 000 ₽611 429 ₽/м²,1,17.5 м²,10/21,Москва,"1-комн. апартаменты, 17,5 м², 10/21 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
24 000 000 ₽595 533 ₽/м²,1,40.3 м²,2/6,Москва,"1-комн. квартира, 40,3 м², 2/6 этаж",https://www.cian.ru/cat.php?id_user=59753183&deal_type=sale&flat=yes&engine_version=2
27 500 000 ₽532 946 ₽/м²,2,51.6 м²,4/37,Москва,"2-комн. квартира, 51,6 м², 4/37 этаж",https://www.cian.ru/cat.php?id_user=12529436&deal_type=sale&flat=yes&engine_version=2
18 800 000 ₽410 480 ₽/м²,1,45.8 м²,21/30,Москва,"1-комн. квартира, 45,8 м², 21/30 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
12 590 000 ₽408 766 ₽/м²,1,30.8 м²,15/22,Москва,"1-комн. квартира, 30,8 м², 15/22 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
10 800 000 ₽329 268 ₽/м²,1,32.8 м²,3/9,Москва,"1-комн. квартира, 32,8 м², 3/9 этаж",https://www.cian.ru/cat.php?id_user=21099&deal_type=sale&flat=yes&engine_version=2
